AccNum	ENTREZID
NM_025567	66445
NM_008810	18597
NM_025313	66043
NM_028863	74316
NM_025407	22273
NM_024221	68263
NM_026452	67914
NM_027204	56282
NM_007747	12858
NM_145573	232536
NM_001304758	12850
NM_025710	66694
NM_023281	66945
NM_023374	67680
NM_007505	11946
NM_026503	68002
NM_028431	73078
NM_025848	66925
NM_001252287	18293
NM_026504	52064
NM_025899	67003
NM_025352	22272
NM_008617	17448
NM_010022	13171
NM_145614	235339
NM_028233	72416
NM_026744	68499
NM_175094	27402
NM_030225	78920
NM_138591	28030
NM_024478	17713
NM_197979	66152
NM_027430	70456
NM_172687	230027
NM_133668	18674
NM_025983	67126
NM_053162	94065
NM_025544	66407
NM_025321	66052
NM_016774	11947
NM_001291271	64656
NM_145615	110842
NM_010209	14194
NM_173757	218506
NM_026921	69046
NM_029573	67834
NM_001160038	227197
NM_016709	11992
NM_027130	69597
NM_173180	66865
NM_199008	69802
NM_011506	20916
NM_138597	28080
NM_023331	67308
NM_144874	226139
NM_025641	66576
NM_025933	67044
NM_013899	30059
NM_025794	66841
NM_053119	93747
NM_178878	97212
NM_007533	12039
NM_026444	12974
NM_019879	56451
NM_007748	12861
NM_007383	11409
NM_001278415	72900
NM_198653	381314
NM_172582	217707
NM_007507	11958
NM_130884	170718
NM_025987	67130
NM_019694	56384
NM_145427	246782
NM_130892	170728
NM_053164	94067
NM_145215	68758
NM_025616	66525
NM_024227	68611
NM_025333	66072
NM_007861	13382
NM_133666	17995
NM_153064	226646
NM_001199177	74143
NM_029673	76614
NM_026565	68117
NM_028782	74142
NM_013743	27273
NM_134093	68614
NM_001282120	76784
NM_029272	75406
NM_144870	225887
NM_026422	67871
NM_025302	27398
NM_001146043	320806
NM_013896	30056
NM_145131	69617
NM_007382	11364
NM_181423	338359
NM_053158	94061
NM_080633	11429
NM_001081040	210582
NM_178614	68653
NM_080452	118451
NM_013677	20930
NM_001081210	69163
NM_008831	18673
NM_172711	231279
NM_172551	216151
NM_001199122	66092
NM_013895	30055
NM_009949	12896
NM_026154	107732
NM_026658	68291
NM_007452	11757
NM_001302213	11957
NM_009945	12866
NM_173785	216792
NM_010922	18100
NM_146108	227095
NM_010888	407785
NM_138601	28295
NM_024188	67041
NM_053071	12864
NM_023172	66218
NM_013671	20656
NM_025316	66046
NM_008212	15107
NM_007998	14151
NM_024471	79464
NM_010911	18041
NM_001301728	14148
NM_145433	217038
NM_026768	68565
NM_029353	75593
NM_144896	229487
NM_008044	14297
NM_198246	70120
NM_008323	15929
NM_025434	66230
NM_011592	21856
NM_011802	270166
NM_053159	94062
NM_025297	26922
NM_007450	11739
NM_020520	57279
NM_001317242	56428
NM_133667	18604
NM_011694	22333
NM_025628	110323
NM_023167	66163
NM_010481	15526
NM_010885	17991
NM_025358	66108
NM_025526	66383
NM_007573	12261
NM_145743	215951
NM_001017429	12856
NM_001163006	433771
NM_018888	56046
NM_025796	66845
NM_007381	11363
NM_010887	17993
NM_001305935	12040
NM_011885	24030
NM_026591	67707
NM_001030014	223722
NM_026759	68537
NM_144844	110821
NM_025301	27397
NM_012019	26926
NM_009941	12857
NM_026742	68493
NM_028048	71998
NM_022994	65111
NM_001112738	11949
NM_013897	30057
NM_024211	67863
NM_001033140	68332
NM_001177658	27395
NM_001291835	11655
NM_026844	66531
NM_177242	320717
NM_009739	12041
NM_019913	56551
NM_001326558	20917
NM_024200	67414
NM_016804	53375
NM_026614	68202
NM_001033305	230075
NM_001081130	239017
NM_144784	110446
NM_024208	67856
NM_001170591	56748
NM_172252	353242
NM_001302334	67212
NM_027346	70207
NM_001077713	71238
NM_025553	66419
NM_026728	52430
NM_009942	12859
NM_025826	66885
NM_022313	57837
NM_019552	56199
NM_025784	66821
NM_001301367	72479
NM_026442	67899
NM_181407	109264
NM_010477	15510
NM_029327	75530
NM_025537	66399
NM_023154	66071
NM_175438	212647
NM_011695	22334
NM_174987	67892
NM_178693	227683
NM_017366	11370
NM_019826	56357
NM_153150	13358
NM_001007570	73095
NM_029020	74610
NM_001030274	595136
NM_025305	50529
NM_023644	72039
NM_026246	18120
NM_027093	69487
NM_023514	69527
NM_026684	68342
NM_023646	83945
NM_026490	56284
NM_027436	70478
NM_001037170	641376
NM_175236	76187
NM_023341	67426
NM_001122683	71911
NM_025394	66169
NM_001331049	15159
NM_025606	94063
NM_011172	19125
NM_027098	107734
NM_024197	67273
NM_175439	212679
NM_017393	53895
NM_021299	56248
NM_153176	234847
NM_001040026	52892
NM_007512	11983
NM_025336	66075
NM_178799	338350
NM_145567	58875
NM_029645	384281
NM_007751	12869
NM_009191	20480
NM_025460	66271
NM_001313967	104776
NM_026826	68735
NM_172665	228026
NM_134084	105675
NM_201358	380840
NM_016772	51798
NM_177470	52538
NM_023202	66416
NM_025430	66223
NM_025835	66904
NM_027978	71883
NM_025570	66448
NM_011590	21854
NM_019818	56322
NM_025317	66047
NM_172609	223696
NM_007760	12908
NM_029963	77721
NM_001081131	209692
NM_026392	70397
NM_025538	66400
NM_025485	64655
NM_007749	12867
NM_026219	67530
NM_027175	69702
NM_025862	66948
NM_027462	70560
NM_026612	68198
NM_030087	78330
NM_023260	79044
NM_007451	11740
NM_172436	78830
NM_078479	66292
NM_029619	76467
NM_028419	73046
NM_175329	103172
NM_001039710	67876
NM_013770	27376
NM_015829	50799
NM_026232	67554
NM_009944	12865
NM_001252395	67283
NM_026914	69029
NM_183086	64657
NM_175001	216767
NM_054070	114896
NM_007997	14149
NM_026958	380773
NM_026389	67811
NM_144932	257633
NM_026936	69089
NM_173011	269951
NM_013795	27425
NM_026975	69168
NM_029629	68126
NM_001163628	67636
NM_024220	68197
NM_026703	68375
NM_001170785	270685
NM_145630	236900
NM_183256	66379
NM_025595	66493
NM_008097	270076
NM_024284	14651
NM_013604	17827
NM_024274	69955
NM_145595	234309
NM_029271	75398
NM_001033630	69662
NM_001039824	68165
NM_026508	68015
NM_001145820	14571
NM_009592	11306
NM_016763	15108
NM_008133	14661
NM_009656	11669
NM_001163713	233870
NM_001037938	28200
NM_023231	66592
NM_019993	56752
NM_153591	244141
NM_027906	219189
NM_207207	99045
NM_172960	268822
NM_024248	71941
NM_178379	70383
NM_019435	104130
NM_008811	18598
NM_053161	94064
NM_153571	100900
NM_001286664	381760
NM_026871	68917
NM_026695	110826
NM_181325	18408
NM_145460	218885
NM_007808	13063
NM_009989	13067
NM_011288	19935
NM_030116	78523
NM_025366	66121
NM_179203	108888
NM_008650	17850
NM_134007	52637
NM_172644	226539
NM_019698	56454
NM_007750	12868
NM_178603	28028
NM_008303	15528
NM_080456	121022
NM_001162946	18563
NM_146141	74776
NM_138595	104174
NM_026894	68971
NM_001301721	228033
NM_024177	60441
NM_025551	66414
NM_026513	68023
NM_028037	71985
NM_133783	96979
NM_001304719	11950
NM_027862	71679
NM_178386	73333
NM_198645	381045
NM_001031808	107733
NM_028626	73724
NM_030026	78038
NM_026873	68927
NM_001177602	11639
NM_001109748	53333
NM_001164358	227731
NM_029556	69634
NM_028832	74238
NM_172704	230935
NM_026172	67460
NM_001085493	76947
NM_025343	66084
NM_178595	329384
NM_013847	26912
NM_025574	66459
NM_054094	117147
NM_026487	67979
NM_025387	66154
NM_176828	223665
NM_023175	52633
NM_025969	67105
NM_026255	67582
NM_010886	17992
NM_024233	104444
NM_145494	107029
NM_023637	71984
NM_001139504	52838
NM_198415	76722
NM_025716	66701
NM_026512	68021
NM_133928	72170
NM_025500	56280
NM_001009949	230125
NM_133684	67247
NM_028260	66541
NM_026080	64660
NM_153794	108654
NM_011591	21855
NM_080636	70791
NM_025461	66272
NM_027772	71365
NM_010023	13177
NM_008256	15360
NM_026688	68349
NM_145443	217666
NM_146090	225791
NM_025338	66077
NM_198006	76178
NM_013543	14979
NM_025843	66916
NM_153152	224904
NM_008095	14467
NM_029017	74600
NM_026411	67851
NM_028611	73694
NM_172678	229211
NM_145829	217214
NM_027570	52815
NM_138665	192166
NM_011467	20751
NM_144897	246703
NM_016897	53600
NM_001294324	17527
NM_199301	212508
NM_001242358	70047
NM_025578	64658
NM_026732	68463
NM_021556	59054
NM_025440	66242
NM_029942	77619
NM_028230	108037
NM_173733	211389
NM_025515	66365
NM_025476	66302
NM_178758	272428
NM_053163	94066
NM_029555	76263
NM_025363	66117
NM_013495	12894
NM_001294140	14933
NM_016895	11637
NM_001134717	72650
NM_001081081	14660
NM_029431	75778
NM_181424	52856
NM_019501	56075
NM_026498	67994
NM_019966	56690
NM_025523	66377
NM_001013405	382117
NM_010344	14782
NM_181406	109093
NM_001198998	22335
NM_013898	30058
NM_018819	55951
NM_026646	68267
NM_001081048	71803
NM_172685	229731
NM_001042541	11640
NM_011868	23986
NM_026510	68017
NM_026010	67164
NM_029760	76826
NM_027324	14057
NM_178651	109108
NM_025961	67092
NM_007532	12035
NM_026933	69076
NM_007757	12892
NM_026164	67452
NM_183358	102060
NM_023040	11692
NM_031375	83485
NM_026401	67840
NM_025348	66091
NM_027275	69956
NM_025927	67036
NM_175194	73132
NM_009463	22227
NM_001163619	71807
NM_025873	66966
NM_028177	70316
NM_027945	71832
NM_025531	66390
NM_026542	68066
NM_019880	56462
NM_024179	66839
NM_130864	113868
NM_025790	66834
NM_023312	67184
NM_001310735	268782
NM_025560	66431
NM_001285920	170731
NM_001242580	27045
NM_026322	110265
NM_001136240	218865
NM_053091	84682
NM_009437	22117
NM_030717	80907
NM_026511	68020
NM_019546	56189
NM_025379	66142
NM_001038592	69367
NM_028270	72535
NM_025597	66495
NM_025855	52665
NM_023737	74147
NM_028063	72026
NM_175137	68915
NM_001029990	52535
NM_013930	30956
NM_011834	23923
NM_027244	69875
NM_181328	214663
NM_172577	217593
NM_001101484	245347
NM_008638	17768
NM_029956	77697
NM_008292	15488
NM_001308506	18115
NM_001168507	216821
NM_183263	67390
NM_008287	15473
NM_009943	12862
NM_001111288	100126824
NM_001163456	231430
NM_026572	68133
NM_028772	74129
NM_001290411	108841
NM_175364	108755
NM_012021	54683
NM_001081181	68115
NM_001252555	14874
NM_153796	226153
NM_183275	68550
NM_026618	52469
NM_001081059	76137
NM_008254	15356
NM_028994	74551
NM_172511	213012
NM_183150	214489
NM_134188	171210
NM_009653	11656
NM_016870	20216
NM_025946	67067
NM_017404	27393
NM_145999	214952
NM_019814	56295
NM_134011	21379
NM_001199337	68316
NM_001098230	381511
NM_025384	66148
NM_001243052	12036
NM_008991	19299
NM_001080809	227231
NM_027360	70257
NM_016978	18242
NM_019545	56185
NM_027919	71776
NM_001289798	231086
NM_023697	105014
NM_177244	320720
NM_181315	56078
NM_021296	17714
NM_025450	66258
NM_001037918	623661
NM_178696	229517
NM_023595	110074
NM_053122	93757
NM_197980	68033
NM_153543	216188
NM_024166	14004
NM_023733	74114
NM_019836	56412
NM_001110242	208501
NM_146230	235674
NM_175374	108853
NM_001159559	68876
NM_013771	27377
NM_001127338	110695
NM_144815	214932
NM_181391	66433
NM_029447	75805
NM_198308	319518
NM_001127346	75597
NM_172422	75619
NM_026551	68087
NM_001082975	654795
NM_180678	353172
NM_025650	66594
NM_026140	67417
NM_019502	14356
NM_001289848	333182
NM_181040	230649
NM_025827	66887
NM_053197	94280
NM_009196	20501
NM_011994	26874
NM_021507	59010
NM_026341	67725
NM_178848	68346
NM_175324	102632
